id,period_label,cutoff_date,due_date,status,posted_at,created_at
1,2026-07,2026-07-31,2026-07-31,draft,,2026-07-24 00:00:06
2,2026-06,2026-07-30,2026-08-05,posted,2026-07-30T01:49:34.341Z,2026-07-30 01:47:38
